First Name/s,Surname,birth,death,occupation_s,Inventions/Accomplishment,links,links_corrected
Harold,Amos,1918,2003,Microbiologist,First black person to hold a department chair at Harvard Medical School,https://en.wikipedia.org/wiki/Harold_Amos,https://en.wikipedia.org/wiki/Harold_Amos
"George Edward, Jr.",Alcorn,1940,NA,Physicist; inventor,Invented a method of fabricating an imaging X-ray spectrometer,https://en.wikipedia.org/wiki/Harold_Amos,"https://en.wikipedia.org/wiki/George_Edward_Alcorn,_Jr."
James J.,Andrews,1930,1998,Mathematician,"Put forth the Andrews-Curtis conjecture in group theory with Morton L. Curtis, still unsolved","https://en.wikipedia.org/wiki/George_Edward_Alcorn,_Jr.",https://en.wikipedia.org/wiki/James_J._Andrews_(mathematician)
Archie,Alexander,1888,1958,Civil engineer,"Responsible for the construction of many roads and bridges, including the Whitehurst Freeway, the Tidal Basin Bridge, and an extension to the Baltimore-Washington Parkway.",https://en.wikipedia.org/wiki/James_J._Andrews_(mathematician),https://en.wikipedia.org/wiki/Archie_Alexander
Leonard C.,Bailey,1825,1918,Inventor,Folding bed,https://en.wikipedia.org/wiki/Archie_Alexander,https://en.wikipedia.org/wiki/Leonard_C._Bailey
Alice Augusta,Ball,1892,1916,Chemist,Extracted chaulmoogra oil for the treatment of Hansen's disease (leprosy),https://en.wikipedia.org/wiki/Leonard_C._Bailey,https://en.wikipedia.org/wiki/Alice_Augusta_Ball
Benjamin,Banneker,1731,1806,Almanac author; surveyor; farmer,Constructed wooden clock; astronomer; mathematician; assisted in the survey of the original boundaries of the District of Columbia; authored a series of almanacs and ephemerides; naturalist,https://en.wikipedia.org/wiki/Alice_Augusta_Ball,https://en.wikipedia.org/wiki/Benjamin_Banneker
Augustin,Banyaga,1947,NA,Mathematician,Work on diffeomorphisms and symplectomorphisms,https://en.wikipedia.org/wiki/Benjamin_Banneker,https://en.wikipedia.org/wiki/Augustin_Banyaga
Janet,Bashen,1957,NA,Inventor; entrepreneur; professional consultant,"First black woman to receive a patent for a web-based software invention, LinkLine, an Equal Employment Opportunity case management and tracking software",https://en.wikipedia.org/wiki/Augustin_Banyaga,https://en.wikipedia.org/wiki/Janet_Emerson_Bashen
Patricia,Bath,1942,2019,Ophthalmologist,"First black female physician to receive a patent for a medical invention; inventions relate to cataract surgery and include the Laserphaco Probe, which revolutionized the industry in the 1980s, and an ultrasound technique for treatment",https://en.wikipedia.org/wiki/Janet_Emerson_Bashen,https://en.wikipedia.org/wiki/Patricia_Bath
Andrew,Beard,1849,1921,Farmer; carpenter; blacksmith; railroad worker; businessman; inventor,"Janney coupler improvements; invented the car device #594,059 dated November 23, 1897; rotary engine patent #478,271 dated July 5, 1892",https://en.wikipedia.org/wiki/Patricia_Bath,https://en.wikipedia.org/wiki/Andrew_Jackson_Beard
Earl S.,Bell,1977,NA,Inventor; entrepreneur; architect; industrial designer,Invented chair with sliding skin (2004) and the quantitative display apparatus (2005),https://en.wikipedia.org/wiki/Andrew_Jackson_Beard,https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists
Leonidas,Berry,1902,1995,Gastroenterologist,"Gastroscope pioneer - In addition to his long and distinguished medical career, Berry was active in teaching, writing, and community public service. The latter included work in civil rights, on the racial problems of public health, and with the African Methodist Episcopal Church.",https://en.wikipedia.org/wiki/Leonidas_Berry,https://en.wikipedia.org/wiki/Leonidas_Berry
Albert T.,Bharucha-Reid,1927,1985,Mathematician; statistician,Probability theory and Markov chain theorist,https://en.wikipedia.org/wiki/Albert_Turner_Bharucha-Reid,https://en.wikipedia.org/wiki/Albert_Turner_Bharucha-Reid
Keith,Black,1957,NA,Neurosurgeon,"Brain tumor surgery and research - In 1997, Time magazine featured Black on the cover of a special edition called ""Heroes of Medicine"". The accompanying article described Black's reputation as a surgeon who would operate on tumors that other doctors would not, as well as aspects of his medical research, including his discovery that the peptide bradykinin can be effective in opening the blood–brain barrier.",https://en.wikipedia.org/wiki/Keith_Black_(surgeon),https://en.wikipedia.org/wiki/Keith_Black_(surgeon)
David,Blackwell,1919,2010,Mathematician; statistician,"First proposed the Blackwell channel model used in coding theory and information theory; one of the eponyms of the Rao-Blackwell theorem, which is a process that significantly improves crude statistical estimators",https://en.wikipedia.org/wiki/David_Blackwell,https://en.wikipedia.org/wiki/David_Blackwell
Henry,Blair,1807,1860,Inventor,Second black inventor to issue a patent; invented seed planter and cotton planter.,https://en.wikipedia.org/wiki/Henry_Blair_(inventor),https://en.wikipedia.org/wiki/Henry_Blair_(inventor)
Kwabena,Boahen,1964,NA,Bioengineer,Silicon retina able to process images in the same manner as a living retina,https://en.wikipedia.org/wiki/Kwabena_Boahen,https://en.wikipedia.org/wiki/Kwabena_Boahen
Sarah,Boone,1832,1905,Inventor,Ironing board allowing sleeves of women's garments to be ironed more easily,https://en.wikipedia.org/wiki/Sarah_Boone,https://en.wikipedia.org/wiki/Sarah_Boone
Edward,Bouchet,1852,1918,Physicist,First black person to receive a PhD in any subject; received physics doctorate from Yale University in 1876,https://en.wikipedia.org/wiki/Edward_Bouchet,https://en.wikipedia.org/wiki/Edward_Bouchet
James,Bowman,1923,2011,Physician,Pathologist and geneticist; Professor Emeritus Pritzker School of Medicine; first tenured black professor at the University of Chicago Division of Biological Sciences,https://en.wikipedia.org/wiki/James_E._Bowman,https://en.wikipedia.org/wiki/James_E._Bowman
Otis,Boykin,1920,1982,Inventor; engineer,Artificial heart pacemaker control unit,https://en.wikipedia.org/wiki/Otis_Boykin,https://en.wikipedia.org/wiki/Otis_Boykin
St. Elmo,Brady,1884,1966,Chemist,Published three scholarly abstracts in Science; collaborated on a paper published in the Journal of Industrial and Engineering Chemistry,https://en.wikipedia.org/wiki/St._Elmo_Brady,https://en.wikipedia.org/wiki/St._Elmo_Brady
Herman,Branson,1914,1995,Physicist; educator,Protein structure research,https://en.wikipedia.org/wiki/Herman_Branson,https://en.wikipedia.org/wiki/Herman_Branson
Charles,Brooks,1865,NA,Inventor[citation needed],Street sweeper truck and a type of paper punch,https://en.wikipedia.org/w/index.php?title=Oscar_E.Brown&action=edit&redlink=1,https://en.wikipedia.org/wiki/Charles_B._Brooks
Marie Van Brittan,Brown,1922,1999,Inventor,Invented the home security system,https://en.wikipedia.org/wiki/Marie_Van_Brittan_Brown,https://en.wikipedia.org/wiki/Marie_Van_Brittan_Brown
John Albert,Burr,1848,NA,Inventor,Rotary-blade lawn mower patent,https://en.wikipedia.org/wiki/William_Warrick_Cardozo,https://en.wikipedia.org/wiki/William_Warrick_Cardozo
Ben,Carson,1951,NA,Pediatric neurosurgeon,Pediatric neurosurgery at Johns Hopkins University; first surgeon to successfully separate craniopagus twins,https://en.wikipedia.org/wiki/Ben_Carson,https://en.wikipedia.org/wiki/Ben_Carson
George,Carruthers,1939,NA,Astrophysicist,"Invented ultraviolet camera/spectrograph, which was used by NASA when it launched Apollo 16 in 1972",https://en.wikipedia.org/wiki/George_Robert_Carruthers,https://en.wikipedia.org/wiki/George_Robert_Carruthers
George Washington,Carver,1865,1943,Botanical researcher,"Discovered hundreds of uses for previously useless vegetables and fruits, principally the peanut",https://en.wikipedia.org/wiki/George_Washington_Carver,https://en.wikipedia.org/wiki/George_Washington_Carver
Charles W.,Chappelle,1872,1941,Electrician; construction; international businessman; and aviation pioneer,Designed long-distance flight airplane; the only black person to invent and display the airplane at the 1911 First Industrial Air Show held in conjunction with the Auto Show at Grand Central Palace in Manhattan in New York City,https://en.wikipedia.org/wiki/Charles_W._Chappelle,https://en.wikipedia.org/wiki/Charles_W._Chappelle
Emmett,Chappelle,1925,2019,Scientist and researcher,"Valuable contributions to several fields: medicine, biology, food science, and astrochemistry",https://en.wikipedia.org/wiki/Emmett_Chappelle,https://en.wikipedia.org/wiki/Emmett_Chappelle
Mamie,Clark,1914,2005,Psychologist,Conducted 1940s experiments using dolls to study children's attitudes about race,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark
Kenneth,Clark,1917,1983,Psychologist,First Black president of the American Psychological Association,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark,https://en.wikipedia.org/wiki/Kenneth_and_Mamie_Clark
"David, Jr.",Crosthwait,1898,1976,Research engineer,"Heating, ventilation, and air conditioning; received some 40 US patents relating to HVAC systems",https://en.wikipedia.org/wiki/David_Crosthwait,https://en.wikipedia.org/wiki/David_Crosthwait
James H (Nick),Curtis,1935,NA,Researcher; chemist (electronics/specialty chemicals),"Organic ionogen for aluminum electrolytic capacitors, cationic dialdehyde polysaccharides for wet strength paper and others, US Patent Office US Pat #3609467 US Pat #3547423 and others",https://en.wikipedia.org/w/index.php?title=Nick_Curtis&action=edit&redlink=1,https://en.wikipedia.org/wiki/List_of_African-American_inventors_and_scientists
John,Dabiri,1980,NA,Biophysicist,Expert on jellyfish hydrodynamics and designer of a vertical-axis wind farm adapted from schooling fish,https://en.wikipedia.org/wiki/John_Dabiri,https://en.wikipedia.org/wiki/John_Dabiri
Marie Maynard,Daly,1921,2003,Chemist,First black American woman with a PhD in chemistry,https://en.wikipedia.org/wiki/Marie_Maynard_Daly,https://en.wikipedia.org/wiki/Marie_Maynard_Daly
Mark,Dean,1957,NA,Computer scientist,"Led the team that developed the ISA bus, and led the design team responsible for creating the first one-gigahertz computer processor chip",https://en.wikipedia.org/wiki/Mark_Dean_(computer_scientist),https://en.wikipedia.org/wiki/Mark_Dean_(computer_scientist)
Charles,Drew,1904,1950,Medical researcher,Developed improved techniques for blood storage,https://en.wikipedia.org/wiki/Charles_R._Drew,https://en.wikipedia.org/wiki/Charles_R._Drew
